entry,max_r2,tem_des_sel_max
39,0.9073161401654669,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076]"
40,0.9073295387566164,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860]"
41,0.9072870064500493,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365]"
42,0.9072797789633633,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612]"
43,0.9073045123430901,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732]"
44,0.9072937908411507,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940]"
45,0.9073094300789962,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228]"
46,0.907290070958214,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941]"
47,0.9072665283010989,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210]"
48,0.9072934841118603,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974]"
49,0.9073108047307944,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115]"
50,0.9072989793349656,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248]"
51,0.907349556856133,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077]"
52,0.9072829101418804,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747]"
53,0.9073112855295009,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021]"
54,0.9073124692640967,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733]"
55,0.9072797262116099,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766]"
56,0.9072800507211602,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095]"
57,0.9072786923208143,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078]"
58,0.9072981933379183,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249]"
59,0.9072958206809721,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644]"
60,0.9072912416701685,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826]"
61,0.9072921221616899,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136]"
62,0.907297492827744,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748]"
63,0.9073019850803193,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997]"
64,0.9072765508864638,"[286, 1327, 1330, 1326, 1322, 302, 305, 304, 1260, 291, 1208, 303, 1074, 1034, 1114, 954, 1017, 955, 920, 611, 1134, 1018, 366, 1268, 921, 296, 364, 348, 712, 1054, 1188, 1094, 1135, 1168, 1209, 746, 1075, 1020, 1076, 860, 365, 612, 732, 940, 1228, 941, 1210, 974, 1115, 1248, 1077, 747, 1021, 733, 766, 1095, 1078, 1249, 644, 826, 1136, 748, 997, 358]"
